t (min),T_euler (°C),T_analitica (°C),error_absoluto (°C)
0.0,90.0,90.0,0.0
1.0,85.45,85.60559829388663,0.1555982938866265
2.0,81.2185,81.50828530092238,0.2897853009223752
3.0,77.28320500000001,77.68797598806216,0.40477098806215395
4.0,73.62338065,74.12594319462215,0.5025625446221511
5.0,70.2197440045,70.80472583171638,0.5849818272163816
6.0,67.054361924185,67.70804328797868,0.6536813637936802
7.0,64.11055658949205,64.82071562198703,0.7101590324949854
8.0,61.37281762822761,62.128589150172964,0.7557715219453556
9.0,58.82672039425167,59.618467065448314,0.7917466711966412
10.0,56.45884996665406,57.278044746441616,0.8191947797875585
11.0,54.25673046898827,55.09584944022983,0.8391189712415539
12.0,52.20875933615909,53.061184022890174,0.8524246867310836
13.0,50.30414618262795,51.164074562186336,0.859928379558383
14.0,48.532855949844,49.395221425340964,0.862365475496965
15.0,46.885556033354916,47.7459536922251,0.860397658870184
16.0,45.35356711102007,46.20818665049757,0.8546195394774969
17.0,43.928817413248666,44.77438216433576,0.8455647510870961
18.0,42.60380019432126,43.43751172248507,0.8337115281638106
19.0,41.37153418071877,42.19102198448856,0.819487803769789
20.0,40.22552678806846,41.02880265620442,0.8032758681359624
21.0,39.15973991290367,39.945156537137045,0.7854166242333775
22.0,38.16855811900041,38.93477159275356,0.7662134737531545
23.0,37.24675905067038,37.992694914884396,0.7459358642140188
24.0,36.38948591712345,37.11430844256165,0.7248225254381992
25.0,35.59222190292481,36.29530632427893,0.7030844213541201
26.0,34.85076636972008,35.531673810702245,0.6809074409821676
27.0,34.16121272383967,34.819667574364104,0.6584548505244356
28.0,33.51992783317089,34.155797359867925,0.6358695266970358
29.0,32.923532884848925,33.536808874652046,0.613275989803121
30.0,32.3688855829095,32.95966783644383,0.5907822535343286
